name,date,location,event_type,region,latitude,longitude,weather_forecast,temperature,windSpeed
Community is a Radical Act of Love,2/19/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6063761,-122.3345788,"Mostly cloudy, with a high near 46. East wind around 3 mph.",46,3 mph
Seattle Kraken vs. Detroit Red Wings,2/19/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6394805,-122.3607453,"Mostly cloudy, with a high near 47. East wind around 5 mph.",47,5 mph
The Thrifted,2/19/2024,High Dive,Music,Fremont / Ballard,47.6504529,-122.3499861,"Mostly cloudy, with a high near 47. East wind around 5 mph.",47,5 mph
Black and Boujee,2/20/2024,Bainbridge Island Museum of Art,Museums,West,47.6028956,-122.33984,"Mostly cloudy, with a high near 48. East southeast wind around 5 mph.",48,5 mph
From Mozart to Matthews,2/20/2024,Benaroya Hall,Music,Downtown,47.6063761,-122.3345788,"Mostly cloudy, with a high near 46. East wind around 3 mph.",46,3 mph
Lukas Nelson,2/20/2024,The Showbox,Music,Downtown,47.6063761,-122.3345788,"Mostly cloudy, with a high near 46. East wind around 3 mph.",46,3 mph
Mahogany – smARTfilms: Black Luxury,2/20/2024,Bainbridge Island Museum of Art,Film & Media Arts,West,47.6028956,-122.33984,"Mostly cloudy, with a high near 48. East southeast wind around 5 mph.",48,5 mph
Robots Who Paint,2/20/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6063761,-122.3345788,"Mostly cloudy, with a high near 46. East wind around 3 mph.",46,3 mph
Trask,2/20/2024,High Dive,Music,Fremont / Ballard,47.6504529,-122.3499861,"Mostly cloudy, with a high near 47. East wind around 5 mph.",47,5 mph
Community is a Radical Act of Love,2/19/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6063761,-122.3345788,"Mostly cloudy, with a high near 46. East wind around 3 mph.",46,3 mph
Seattle Kraken vs. Detroit Red Wings,2/19/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6394805,-122.3607453,"Mostly cloudy, with a high near 47. East wind around 5 mph.",47,5 mph
The Thrifted,2/19/2024,High Dive,Music,Fremont / Ballard,47.6504529,-122.3499861,"Mostly cloudy, with a high near 47. East wind around 5 mph.",47,5 mph
Black and Boujee,2/20/2024,Bainbridge Island Museum of Art,Museums,West,47.6028956,-122.33984,"Mostly cloudy, with a high near 48. East southeast wind around 5 mph.",48,5 mph
From Mozart to Matthews,2/20/2024,Benaroya Hall,Music,Downtown,47.6063761,-122.3345788,"Mostly cloudy, with a high near 46. East wind around 3 mph.",46,3 mph
Lukas Nelson,2/20/2024,The Showbox,Music,Downtown,47.6063761,-122.3345788,"Mostly cloudy, with a high near 46. East wind around 3 mph.",46,3 mph
Mahogany – smARTfilms: Black Luxury,2/20/2024,Bainbridge Island Museum of Art,Film & Media Arts,West,47.6028956,-122.33984,"Mostly cloudy, with a high near 48. East southeast wind around 5 mph.",48,5 mph
Robots Who Paint,2/20/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6063761,-122.3345788,"Mostly cloudy, with a high near 46. East wind around 3 mph.",46,3 mph
Trask,2/20/2024,High Dive,Music,Fremont / Ballard,47.6504529,-122.3499861,"Mostly cloudy, with a high near 47. East wind around 5 mph.",47,5 mph
"Wu Han, Philip Setzer & David Finckel",2/20/2024,Meany Center for the Performing Arts,Music,University District,47.6612984,-122.3131523,"Mostly cloudy, with a high near 48. East southeast wind around 5 mph.",48,5 mph
The Cookers,2/21/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6063761,-122.3345788,"Mostly cloudy, with a high near 46. East wind around 3 mph.",46,3 mph
A I M by Kyle Abraham,2/21/2024,The Moore Theatre,Dance,Downtown,47.6063761,-122.3345788,"Mostly cloudy, with a high near 46. East wind around 3 mph.",46,3 mph
Cesar Cuauhtemoc Garcia Hernandez,2/21/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6063761,-122.3345788,"Mostly cloudy, with a high near 46. East wind around 3 mph.",46,3 mph
